Index,Fields,Values
21.1.4.4,Popular_ReviewCount,1k+
21.1.5.4,Popular_ReviewCount,80
21.1.6.4,Popular_ReviewCount,3k+
21.1.7.4,Popular_ReviewCount,860
21.1.8.4,Popular_ReviewCount,343
21.1.9.4,Popular_ReviewCount,3k+
21.1.10.4,Popular_ReviewCount,257
21.1.11.4,Popular_ReviewCount,8
21.1.12.4,Popular_ReviewCount,44
21.1.13.4,Popular_ReviewCount,31
21.1.14.4,Popular_ReviewCount,575
21.1.15.4,Popular_ReviewCount,7
21.1.1.5,Popular_Links,https://beautymag.com/best-eyeliners-for-sensitive-eyes/
21.1.2.5,Popular_Links,"https://www.reviewed.com/home-outdoors/best-right-now/the-best-liquid-eyeliners#:~:text=It%20has%20a%20reasonably,line%29%20with%20additional%20coats."
21.1.3.5,Popular_Links,N/A
21.1.4.5,Popular_Links,https://www.stylecraze.com/articles/best-tarte-products/
